For Holesize 50
Number of sensor 800
1190.1996419910715 421.6920000001726 244.8880124262102
1329.5023630363798 419.92000000017686 443.27528685258653
1326.2819190558766 786.120000000217 311.6444775876461
1282.3003199654893 498.3620000001923 520.1495135492253
1474.8972326796415 670.8660000002575 434.5856680481885
1442.173066211924 642.0200000002076 224.75816495144161
1311.125435748393 833.1260000001822 200.21893190056318
833.8836748927785 441.4700000001934 596.6382968888062
1343.129511910823 552.394000000199 520.5527345404137
1330.6832320954377 777.5680000002202 445.209950131091
number of times hole fully covered 0
average area reduced = 52.879921267957435
average distance traveled = 394.1921036876173
