For Holesize 45
Number of sensor 800
985.8679952876414 103.88600000004345 412.2630616471633
915.2534197892186 43.55399999999724 363.5070510280168
979.2976946754677 174.71399999993545 431.4550070391019
877.1624906723184 18.544000000000075 217.8036304948404
915.4483407028364 115.53600000004127 355.2243463276499
926.6027840764705 207.783999999888 266.0550237519294
984.3143569134119 151.9199999999671 292.1629691286957
927.3272114232947 132.76200000003115 348.52741873301306
863.4621117114765 116.54000000004599 424.87962255405876
878.8716665797588 192.13199999990144 309.33575262213327
number of times hole fully covered 0
average area reduced = 86.45952230641657
average distance traveled = 342.12138833266033
