For Holesize 45
Number of sensor 800
961.3428228973178 110.57800000003517 245.0863381283121
893.2064729991973 109.00800000003977 232.2607398486371
837.904030642687 136.95200000000509 362.3998324032406
1019.5239537083517 159.6999999999555 265.5477990281978
1034.6503706894703 159.60599999996055 363.0228197569647
945.8732520510769 170.65999999991868 257.27383212897684
926.7018856152904 236.29599999989557 235.26710129326335
911.9903440284725 200.45399999991685 342.01309109068535
839.3692578846812 169.74999999992056 311.7395590194015
859.6435670414045 109.40000000003958 336.11585678124663
number of times hole fully covered 0
average area reduced = 83.03878326597388
average distance traveled = 295.0726969478926
