For Holesize 50
Number of sensor 680
1117.2129242789106 603.7800000002078 371.73220074103807
1545.081252371645 870.1780000002602 418.04226849415494
1476.7375175258233 476.4660000001951 247.49980243595243
1469.06112605466 862.0740000002605 171.39268400289535
1432.8733844493227 575.878000000236 182.8106149936219
1327.6520778622332 499.5780000002229 490.022731836014
1262.9476295066793 710.1540000001986 312.30521441531255
1263.8146943770291 589.470000000227 331.7817120303055
1417.6052636112304 592.0780000002586 245.65222840250166
1207.0321030494958 713.3020000002072 134.9376759416767
number of times hole fully covered 0
average area reduced = 51.71378848284
average distance traveled = 290.61771332934734
