For Holesize 50
Number of sensor 840
1272.0077531859026 462.52800000028583 399.0595782986588
1357.5357594104778 473.0500000001882 295.739835141719
1385.1950143816339 508.65600000018264 302.9281750536655
1488.9250592243807 678.9500000001905 312.7141073153078
1207.7224788530345 331.1860000001759 433.27136907663646
1378.8305949810688 428.04600000019514 521.8932702106565
1249.379008690879 722.7100000001954 412.98471887127164
1215.6690150670947 425.26000000016677 181.3227783738296
1408.7753984154833 578.1840000002018 232.6393196975007
1469.4735674199626 821.8520000002089 302.49613747043406
number of times hole fully covered 0
average area reduced = 59.820730234715576
average distance traveled = 339.504928950968
