For Holesize 75
Number of sensor 800
4008.92813429546 2891.5419999988844 417.22952962232563
4268.532240387249 3312.607999998758 626.6816654827726
4062.2055592136153 3362.813999998786 512.3065762511047
4044.602727345627 3242.4139999983436 640.8952939895703
3905.1764904143674 3185.2119999988636 146.9840935615682
4238.3400612050345 3246.095999998851 308.35126820774417
4163.371443726361 3241.457999998852 500.3763329679449
4213.182545696192 3231.093999998794 493.1006478559701
4286.895142017049 3550.9019999989914 363.2295178049574
4158.089017196101 3001.5819999989526 211.79018623559074
number of times hole fully covered 0
average area reduced = 21.96002312290835
average distance traveled = 422.09451119795483
