For Holesize 50
Number of sensor 860
1365.3482409277271 356.3020000002025 512.0064337160685
1404.2401163133984 450.31600000018614 512.9146643517461
1257.4419942858506 321.75400000020056 402.20170927511157
1416.1068303132781 663.6580000002207 379.2020986882153
1416.1785502784935 638.9740000002213 375.46582313503177
1268.7458112336803 265.43799999994155 472.76114751122753
1281.402102440516 202.63799999985565 455.4316728004641
1327.7206365043787 422.52800000024683 413.7500019067191
1291.9876143300078 475.07000000023436 309.3346081389053
1336.3191938561379 482.1540000002501 364.935540520701
number of times hole fully covered 0
average area reduced = 68.28532510530646
average distance traveled = 419.80037000441905
