For Holesize 50
Number of sensor 560
1529.8244034152008 849.0280000002937 192.145412876752
1519.6978138694858 755.1480000002114 189.82466631476072
1384.6305922499328 946.896000000246 315.98527749691675
1241.7061870451585 638.5520000002085 167.8745924738319
1444.6665014339555 821.1460000002124 266.39998341913895
1340.8980315216174 678.7620000002353 226.50710299756054
1586.0418772572668 818.672000000245 152.47547343303953
1656.6536079866814 1003.5340000002782 284.327190022606
1651.2562567001523 681.6160000002667 417.6034965841544
1321.2759085858982 659.5660000001948 313.4012901337932
number of times hole fully covered 0
average area reduced = 46.4148823296976
average distance traveled = 252.6544485752554
