For Holesize 60
Number of sensor 800
2138.23639487579 1029.6860000001034 534.1196115948546
2147.17665631969 979.5620000003017 304.06581526701524
2310.2355924971666 1142.5199999983206 388.17842248155165
2033.9751757592035 926.9820000002738 282.1975681831876
2147.96197904277 668.6300000002267 660.9347567840738
2195.909894511849 1484.0239999983783 423.39969009768777
2296.7677080953817 1331.2379999985508 432.7747732873562
2119.5397597347737 1178.9819999983758 362.6934424004833
2167.5090150137235 1451.231999998386 332.29367365764284
2410.6243748544603 1660.1879999983553 537.7629954586241
number of times hole fully covered 0
average area reduced = 46.30744308406578
average distance traveled = 425.8420749212477
