For Holesize 50
Number of sensor 640
1432.2045532823674 515.982000000273 257.3283323679343
1320.2352489724963 474.0700000001949 290.5131120668272
1486.9089880753932 988.4940000002692 377.1585534724212
1468.590953530244 452.40800000022443 476.46627633486224
1414.6667062851068 860.5260000002495 482.8836970610392
1337.219176433626 715.5340000002026 346.25498406265893
1384.5420844906018 1044.2899999997358 262.1852383997927
1555.0523552454788 788.0600000002322 219.6862799862938
1421.465029055254 637.6760000002346 366.6621344657536
1335.863611126016 409.29600000016944 255.30933807842845
number of times hole fully covered 0
average area reduced = 51.48396602873565
average distance traveled = 333.4447946296012
